step,ntoken,cache_len_before,n_new,phase,latency_ms,kv_valid_mib
0,1024,0,1024,prefill,3102.611,28.0
1,1025,1024,1,decode,55.829,28.027
2,1026,1025,1,decode,55.73,28.055
3,1027,1026,1,decode,55.653,28.082
4,1028,1027,1,decode,55.588,28.109
5,1029,1028,1,decode,55.583,28.137
6,1030,1029,1,decode,55.631,28.164
7,1031,1030,1,decode,55.664,28.191
8,1032,1031,1,decode,55.686,28.219
9,1033,1032,1,decode,55.621,28.246
10,1034,1033,1,decode,55.706,28.273
11,1035,1034,1,decode,55.676,28.301
12,1036,1035,1,decode,55.683,28.328
13,1037,1036,1,decode,55.651,28.355
14,1038,1037,1,decode,55.724,28.383
15,1039,1038,1,decode,55.723,28.41
16,1040,1039,1,decode,55.671,28.438
17,1041,1040,1,decode,55.752,28.465
18,1042,1041,1,decode,55.66,28.492
19,1043,1042,1,decode,55.69,28.52
20,1044,1043,1,decode,55.726,28.547
21,1045,1044,1,decode,55.674,28.574
22,1046,1045,1,decode,55.734,28.602
23,1047,1046,1,decode,55.711,28.629
24,1048,1047,1,decode,55.694,28.656
25,1049,1048,1,decode,55.661,28.684
26,1050,1049,1,decode,55.689,28.711
27,1051,1050,1,decode,55.713,28.738
28,1052,1051,1,decode,55.703,28.766
29,1053,1052,1,decode,55.718,28.793
30,1054,1053,1,decode,55.737,28.82
31,1055,1054,1,decode,55.765,28.848
32,1056,1055,1,decode,55.698,28.875
33,1057,1056,1,decode,55.751,28.902
34,1058,1057,1,decode,55.728,28.93
35,1059,1058,1,decode,55.749,28.957
36,1060,1059,1,decode,55.721,28.984
37,1061,1060,1,decode,55.695,29.012
38,1062,1061,1,decode,55.817,29.039
39,1063,1062,1,decode,55.694,29.066
40,1064,1063,1,decode,55.726,29.094
41,1065,1064,1,decode,55.752,29.121
42,1066,1065,1,decode,55.761,29.148
43,1067,1066,1,decode,55.717,29.176
44,1068,1067,1,decode,55.725,29.203
45,1069,1068,1,decode,56.627,29.23
46,1070,1069,1,decode,55.751,29.258
47,1071,1070,1,decode,55.755,29.285
48,1072,1071,1,decode,55.731,29.312
49,1073,1072,1,decode,55.839,29.34
50,1074,1073,1,decode,55.83,29.367
51,1075,1074,1,decode,55.792,29.395
52,1076,1075,1,decode,55.729,29.422
53,1077,1076,1,decode,55.75,29.449
54,1078,1077,1,decode,55.806,29.477
55,1079,1078,1,decode,55.782,29.504
56,1080,1079,1,decode,55.8,29.531
57,1081,1080,1,decode,55.798,29.559
58,1082,1081,1,decode,55.768,29.586
59,1083,1082,1,decode,55.8,29.613
60,1084,1083,1,decode,55.769,29.641
61,1085,1084,1,decode,55.78,29.668
62,1086,1085,1,decode,55.767,29.695
63,1087,1086,1,decode,55.765,29.723
64,1088,1087,1,decode,55.756,29.75
65,1089,1088,1,decode,55.752,29.777
66,1090,1089,1,decode,55.772,29.805
67,1091,1090,1,decode,55.802,29.832
68,1092,1091,1,decode,55.812,29.859
69,1093,1092,1,decode,55.749,29.887
70,1094,1093,1,decode,55.763,29.914
71,1095,1094,1,decode,55.872,29.941
72,1096,1095,1,decode,55.84,29.969
73,1097,1096,1,decode,55.838,29.996
74,1098,1097,1,decode,55.84,30.023
75,1099,1098,1,decode,55.859,30.051
76,1100,1099,1,decode,55.815,30.078
77,1101,1100,1,decode,55.828,30.105
78,1102,1101,1,decode,55.796,30.133
79,1103,1102,1,decode,55.782,30.16
80,1104,1103,1,decode,55.829,30.188
81,1105,1104,1,decode,55.812,30.215
82,1106,1105,1,decode,55.804,30.242
83,1107,1106,1,decode,55.859,30.27
84,1108,1107,1,decode,55.794,30.297
85,1109,1108,1,decode,55.825,30.324
86,1110,1109,1,decode,55.82,30.352
87,1111,1110,1,decode,55.805,30.379
88,1112,1111,1,decode,55.836,30.406
89,1113,1112,1,decode,55.835,30.434
90,1114,1113,1,decode,55.852,30.461
91,1115,1114,1,decode,55.877,30.488
92,1116,1115,1,decode,55.985,30.516
93,1117,1116,1,decode,55.899,30.543
94,1118,1117,1,decode,55.832,30.57
95,1119,1118,1,decode,55.851,30.598
96,1120,1119,1,decode,56.089,30.625
97,1121,1120,1,decode,55.859,30.652
98,1122,1121,1,decode,55.873,30.68
99,1123,1122,1,decode,56.029,30.707
100,1124,1123,1,decode,55.898,30.734
101,1125,1124,1,decode,56.049,30.762
102,1126,1125,1,decode,55.909,30.789
103,1127,1126,1,decode,55.867,30.816
104,1128,1127,1,decode,55.933,30.844
105,1129,1128,1,decode,55.914,30.871
106,1130,1129,1,decode,55.86,30.898
107,1131,1130,1,decode,55.942,30.926
108,1132,1131,1,decode,55.962,30.953
109,1133,1132,1,decode,55.969,30.98
110,1134,1133,1,decode,55.979,31.008
111,1135,1134,1,decode,55.98,31.035
112,1136,1135,1,decode,55.906,31.062
113,1137,1136,1,decode,55.892,31.09
114,1138,1137,1,decode,55.922,31.117
115,1139,1138,1,decode,56.06,31.145
116,1140,1139,1,decode,55.959,31.172
117,1141,1140,1,decode,55.914,31.199
118,1142,1141,1,decode,55.924,31.227
119,1143,1142,1,decode,55.918,31.254
120,1144,1143,1,decode,56.012,31.281
121,1145,1144,1,decode,55.924,31.309
122,1146,1145,1,decode,56.059,31.336
123,1147,1146,1,decode,56.078,31.363
124,1148,1147,1,decode,55.931,31.391
125,1149,1148,1,decode,55.967,31.418
126,1150,1149,1,decode,55.914,31.445
127,1151,1150,1,decode,56.116,31.473
128,1152,1151,1,decode,56.026,31.5
