Generating SQLite file profiling/results/nsys/llaisys.sqlite from profiling/results/nsys/llaisys.nsys-rep
Processing [profiling/results/nsys/llaisys.sqlite] with [/usr/local/cuda-13.0/nsight-systems-2025.3.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     99.3        568776412        985  577438.0  143805.0    140350   2530522     738081.7  void llaisys::ops::nvidia::linear_kernel<__nv_bfloat16>(T1 *, const T1 *, const T1 *, const T1 *, u…
      0.3          1843689        140   13169.2   12416.0     11487     14976       1288.9  void llaisys::ops::nvidia::self_attention_kernel<__nv_bfloat16>(T1 *, const T1 *, const T1 *, const…
      0.2          1133587        285    3977.5    3936.0      2880      4768        198.3  void llaisys::ops::nvidia::rms_norm_kernel<__nv_bfloat16>(T1 *, const T1 *, const T1 *, unsigned lo…
      0.1           411129        280    1468.3    1408.0      1312      1952        168.1  void llaisys::ops::nvidia::rope_kernel<__nv_bfloat16>(T1 *, const T1 *, const long *, unsigned long…
      0.0           233884        280     835.3     800.0       767      1248         79.0  llaisys::ops::nvidia::add_kernel_bf16(__nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *…
      0.0           161022        140    1150.2     864.0       832      1856        370.2  void llaisys::ops::nvidia::swiglu_kernel<__nv_bfloat16>(T1 *, const T1 *, const T1 *, unsigned long)
      0.0            16704          5    3340.8    3232.0      2912      3808        345.8  void llaisys::ops::nvidia::embedding_kernel<unsigned short>(T1 *, const long *, const T1 *, unsigne…
      0.0             9792          5    1958.4    1856.0      1824      2144        155.8  void llaisys::ops::nvidia::argmax_finalize_kernel<__nv_bfloat16>(const T1 *, const float *, const u…
      0.0             8064          5    1612.8    1632.0      1568      1632         28.6  void llaisys::ops::nvidia::argmax_partial_kernel<__nv_bfloat16>(const T1 *, unsigned long, float *,…

