Generating SQLite file profiling/results/nsys/vllm.sqlite from profiling/results/nsys/vllm.nsys-rep
Processing [profiling/results/nsys/vllm.sqlite] with [/usr/local/cuda-13.0/nsight-systems-2025.3.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     16.4        106820857         56  1907515.3  1907625.5   1896346   1917689       4558.0  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Par…
     16.2        105152590       1876    56051.5    55262.5     14047    126365      30342.3  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_64x3_tn_align8>(T1::Para…
     14.0         91006482        416   218765.6    41247.0     39615   1004235     319380.8  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x4_tn_align8>(T1::Par…
     12.7         82796042        924    89606.1    89887.0     87455     95742       1610.1  void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (…
      7.8         50649735        561    90284.7    75327.0     73855    533653      34362.1  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Par…
      3.7         24230490       2168    11176.4     2112.0      1568     88543      24529.0  triton_red_fused_fused_add_rms_norm_2                                                               
      3.6         23168245        943    24568.7      736.0       640     76703      27134.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
      2.9         19074156       1956     9751.6     2336.0       863    260954      42837.7  triton_poi_fused_mul_silu_slice_1                                                                   
      2.6         16717137       1176    14215.3    13184.0      5216     21536       4206.5  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x10_tn_align8>(T1::Para…
      2.5         15969322        448    35645.8    35647.0     34495     36991        473.2  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x128_64x3_tn_align8>(T1::Para…
      2.3         14746334       2408     6123.9     6080.0      3583      9920       1628.5  void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)64, (int)4, (b…
      2.2         14073029         28   502608.2   503173.5    478422    506390       4887.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<signed char>, std::a…
      2.0         12962282        448    28933.7    28928.0     27232     30239        386.5  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_tn_align8>(T1::Para…
      1.9         12140258       1060    11453.1    11296.0      4768     36991       4384.2  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align8>(T1::Par…
      1.3          8433171        448    18824.0    14495.5      8896     37087      10921.5  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Par…
      1.3          8220220       4754     1729.1     1696.0      1472      2976        176.5  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.9          6052382        504    12008.7    11904.0     11423     13440        346.1  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_64x6_tn_align8>(T1::Param…
      0.8          5018043        277    18115.7    16192.0      5664     25632       7287.4  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_tn_align8>(T1::Para…
      0.8          4892470       1956     2501.3     1792.0      1312     25248       3553.5  triton_red_fused_fused_add_rms_norm_0                                                               
      0.7          4517995       1848     2444.8     2560.0      1088      3680        701.5  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv…
      0.7          4431399        196    22609.2    22543.5     21152     24095        607.0  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_32x6_tn_align8>(T1::Para…
      0.5          3243394       1887     1718.8     1408.0      1024     12672       1839.8  triton_poi_fused_3                                                                                  
      0.5          3211840         84    38236.2    37999.5     36608     40191        896.9  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_64x1_tn_align8>(T1::Para…
      0.5          3051135       3357      908.9      928.0       640      6400        478.2  void vllm::reshape_and_cache_flash_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0…
      0.4          2657796       2352     1130.0     1152.0       800      1440        116.9  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.3          1774368         80    22179.6    22623.5     20383     23999       1012.5  void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_64x128_64x3_tn_align8>(T1::Params)        
      0.2          1330412         84    15838.2     6192.0      5216     38272      14363.3  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
      0.2          1250822         84    14890.7    19584.0      5056     20480       6895.1  void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x2_tn_align8>(T1::Para…
      0.1           627179         28    22399.3    22767.0     13886     23711       1765.9  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, float, float, floa…
      0.1           396379         25    15855.2    16000.0     14848     16416        401.1  void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (…
      0.0           253787         85     2985.7      768.0       608      8896       3271.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, std:…
